Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",116.750000,-91.250000,180.000000,top
"C2","20pF","C_0402_1005Metric",114.750000,-83.750000,180.000000,top
"C3","20pF","C_0402_1005Metric",114.750000,-91.250000,0.000000,top
"C4","10uF","C_0805_2012Metric",132.000000,-89.750000,180.000000,top
"C5","10uF","C_0805_2012Metric",129.250000,-87.000000,90.000000,top
"C6","100nF","C_0402_1005Metric",118.750000,-85.750000,90.000000,top
"C7","100nF","C_0402_1005Metric",127.250000,-85.750000,90.000000,top
"C8","100nF","C_0402_1005Metric",127.250000,-94.250000,270.000000,top
"C9","100nF","C_0402_1005Metric",116.750000,-92.500000,180.000000,top
"D1","B5819W","D_SOD-123",131.250000,-84.000000,0.000000,top
"D2","GREEN","LED_0603_1608Metric",115.000000,-95.250000,0.000000,top
"D3","RED","LED_0603_1608Metric",115.000000,-93.750000,0.000000,top
"Q1","S9013","SOT-23",130.250000,-92.750000,180.000000,top
"R1","100k","R_0402_1005Metric",114.750000,-92.500000,180.000000,top
"R2","100k","R_0402_1005Metric",121.750000,-83.500000,0.000000,top
"R3","1K5","R_0402_1005Metric",129.250000,-89.250000,0.000000,top
"R4","10k","R_0402_1005Metric",133.000000,-92.000000,90.000000,top
"R5","33k","R_0402_1005Metric",132.750000,-94.000000,90.000000,top
"R6","100R","R_0402_1005Metric",131.000000,-95.250000,0.000000,top
"R7","10k","R_0402_1005Metric",121.000000,-95.750000,0.000000,top
"R8","NP","R_0402_1005Metric",123.250000,-95.750000,0.000000,top
"R9","100R","R_0402_1005Metric",129.250000,-90.500000,180.000000,top
"R10","4k7","R_0402_1005Metric",121.000000,-96.750000,0.000000,top
"R11","4k7","R_0402_1005Metric",123.010000,-96.750000,0.000000,top
"R12","220R","R_0402_1005Metric",118.000000,-95.250000,0.000000,top
"R13","220R","R_0402_1005Metric",114.250000,-96.750000,180.000000,top
"U1","XC6206P332MR","SOT-23",132.000000,-87.000000,0.000000,top
"U2","STM32F103CBT6","LQFP-48_7x7mm_P0.5mm",123.000000,-90.000000,0.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",115.750000,-87.500000,270.000000,top
