Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",19.620000,15.990000,180.000000,top
"C2","20pF","C_0402_1005Metric",17.620000,23.490000,180.000000,top
"C3","20pF","C_0402_1005Metric",17.620000,15.990000,0.000000,top
"C4","10uF","C_0805_2012Metric",34.870000,17.490000,180.000000,top
"C5","10uF","C_0805_2012Metric",32.020000,20.372000,90.000000,top
"C6","100nF","C_0402_1005Metric",21.620000,21.490000,90.000000,top
"C7","100nF","C_0402_1005Metric",30.120000,21.490000,90.000000,top
"C8","100nF","C_0402_1005Metric",28.600000,10.974000,-90.000000,top
"C9","100nF","C_0402_1005Metric",19.620000,14.740000,180.000000,top
"D1","B5819W","D_SOD-123",33.620000,23.420000,0.000000,top
"D2","BLUE","LED_0603_1608Metric",17.870000,11.990000,0.000000,top
"D3","RED","LED_0603_1608Metric",17.870000,13.490000,0.000000,top
"H1","MouseBite","mouse-bite-1mm-slot",19.870000,25.240000,0.000000,top
"H2","MouseBite","mouse-bite-1mm-slot",19.870000,9.240000,0.000000,top
"H3","MouseBite","mouse-bite-1mm-slot",37.370000,25.240000,0.000000,top
"H4","MouseBite","mouse-bite-1mm-slot",37.370000,9.240000,0.000000,top
"J1","USB_A","USB_Male_A_UP2-AH-1-TH",39.870000,17.240000,90.000000,top
"Q1","S9013","SOT-23",33.045000,14.530000,0.000000,top
"R1","100k","R_0402_1005Metric",17.620000,14.740000,180.000000,top
"R2","100k","R_0402_1005Metric",26.370000,23.740000,-90.000000,top
"R3","1K5","R_0402_1005Metric",32.120000,17.040000,180.000000,top
"R4","10k","R_0402_1005Metric",35.870000,15.240000,90.000000,top
"R5","39k","R_0402_1005Metric",35.870000,12.740000,90.000000,top
"R6","100R","R_0402_1005Metric",33.870000,11.990000,0.000000,top
"R7","10k","R_0402_1005Metric",24.120000,23.740000,-90.000000,top
"R8","DNP","R_0402_1005Metric",22.120000,23.740000,-90.000000,top
"R9","100R","R_0402_1005Metric",30.632000,10.974000,90.000000,top
"R10","4k7","R_0402_1005Metric",24.870000,10.990000,-90.000000,top
"R11","4k7","R_0402_1005Metric",23.370000,10.990000,90.000000,top
"R12","220R","R_0402_1005Metric",20.870000,11.990000,0.000000,top
"R13","220R","R_0402_1005Metric",16.170000,10.490000,180.000000,top
"U1","XC6206P332MR","SOT-23",34.950000,20.372000,180.000000,top
"U2","STM32F103CB","LQFP-48_7x7mm_P0.5mm",25.870000,17.240000,-90.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",18.620000,19.740000,-90.000000,top
