Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",20.250000,18.750000,180.000000,top
"C2","20pF","C_0402_1005Metric",18.250000,26.250000,180.000000,top
"C3","20pF","C_0402_1005Metric",18.250000,18.750000,0.000000,top
"C4","10uF","C_0805_2012Metric",35.500000,20.250000,180.000000,top
"C5","10uF","C_0805_2012Metric",32.650000,23.132000,90.000000,top
"C6","100nF","C_0402_1005Metric",22.250000,24.250000,90.000000,top
"C7","100nF","C_0402_1005Metric",30.750000,24.250000,90.000000,top
"C8","100nF","C_0402_1005Metric",29.230000,13.734000,-90.000000,top
"C9","100nF","C_0402_1005Metric",20.250000,17.500000,180.000000,top
"D1","B5819W","D_SOD-123",34.250000,26.180000,0.000000,top
"D2","BLUE","LED_0603_1608Metric",18.500000,14.750000,0.000000,top
"D3","RED","LED_0603_1608Metric",18.500000,16.250000,0.000000,top
"H1","MouseBite","mouse-bite-1mm-slot",20.500000,28.000000,0.000000,top
"H2","MouseBite","mouse-bite-1mm-slot",20.500000,12.000000,0.000000,top
"H3","MouseBite","mouse-bite-1mm-slot",38.000000,28.000000,0.000000,top
"H4","MouseBite","mouse-bite-1mm-slot",38.000000,12.000000,0.000000,top
"J1","USB_A","USB_Male_A_UP2-AH-1-TH",40.500000,20.000000,90.000000,top
"Q1","S9013","SOT-23",33.675000,17.290000,180.000000,top
"R1","100k","R_0402_1005Metric",18.250000,17.500000,180.000000,top
"R2","100k","R_0402_1005Metric",27.000000,26.500000,-90.000000,top
"R3","1K5","R_0402_1005Metric",32.750000,19.800000,180.000000,top
"R4","10k","R_0402_1005Metric",36.500000,18.000000,90.000000,top
"R5","39k","R_0402_1005Metric",36.500000,15.500000,90.000000,top
"R6","100R","R_0402_1005Metric",34.500000,14.750000,0.000000,top
"R7","10k","R_0402_1005Metric",24.750000,26.500000,-90.000000,top
"R8","DNP","R_0402_1005Metric",22.750000,26.500000,-90.000000,top
"R9","100R","R_0402_1005Metric",31.262000,13.734000,90.000000,top
"R10","4k7","R_0402_1005Metric",25.500000,13.750000,-90.000000,top
"R11","4k7","R_0402_1005Metric",24.000000,13.750000,90.000000,top
"R12","220R","R_0402_1005Metric",21.500000,14.750000,0.000000,top
"R13","220R","R_0402_1005Metric",16.800000,13.250000,180.000000,top
"U1","XC6206P332MR","SOT-23",35.580000,23.132000,0.000000,top
"U2","STM32F103CB","LQFP-48_7x7mm_P0.5mm",26.500000,20.000000,0.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",19.250000,22.500000,-90.000000,top
