"Reference","Value","Qty","LCSC"
"C1,C6,C7,C8,C9,C10","100nF","6","C1525"
"C2,C3","20pF","2","C1554"
"C4,C5","10uF","2","C15850"
"D1","B5819W","1","C8598"
"D2","BLUE","1","C72041"
"D3","RED","1","C2286"
"J1","USB_C_Receptacle_USB2.0-Connector","1","C165948"
"J2","IDC 2x5","1","C41376028"
"Q1","S9013","1","C6749"
"R1,R2","100k","2","C25741"
"R3,R4","5k1","2","C25905"
"R5","1K5","1","C25867"
"R6,R8","10k","2","C25744"
"R9","39k","1","C25783"
"R10,R11","100R","2","C25076"
"R12,R13","4k7","2","C25900"
"R14,R15","470R","2","C25117"
"U1","STM32F103CB","1","C8304"
"U3","AMS1117-3.3","1","C6186"
"Y1","8MHz","1","C115962"
