Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",127.635000,-83.185000,0.000000,top
"C2","20pF","C_0402_1005Metric",127.635000,-93.345000,180.000000,top
"C3","20pF","C_0402_1005Metric",127.635000,-85.725000,180.000000,top
"C4","10uF","C_0805_2012Metric",108.585000,-79.375000,180.000000,top
"C5","10uF","C_0805_2012Metric",121.920000,-74.930000,0.000000,top
"C6","100nF","C_0402_1005Metric",127.635000,-97.155000,0.000000,top
"C7","100nF","C_0402_1005Metric",127.635000,-81.915000,0.000000,top
"C8","100nF","C_0402_1005Metric",116.205000,-83.820000,180.000000,top
"C9","100nF","C_0402_1005Metric",115.570000,-93.345000,180.000000,top
"C10","100nF","C_0402_1005Metric",121.920000,-76.835000,0.000000,top
"D1","B5819W","D_SOD-123",107.950000,-81.915000,180.000000,top
"D2","BLUE","LED_0603_1608Metric",103.505000,-96.520000,0.000000,top
"D3","RED","LED_0603_1608Metric",103.505000,-98.425000,180.000000,top
"J1","USB_C_Receptacle_USB2.0-Connector","USB_C_Receptacle_HRO_TYPE-C-31-M-12",106.680000,-88.900000,-90.000000,top
"J2","IDC 2x5","IDC-Header_2x05_P2.54mm_Vertical_SMD",137.795000,-88.900000,-90.000000,top
"Q1","S9013","SOT-23",110.490000,-97.790000,90.000000,top
"R1","100k","R_0402_1005Metric",127.635000,-84.455000,0.000000,top
"R2","100k","R_0402_1005Metric",116.205000,-98.425000,0.000000,top
"R3","5k1","R_0402_1005Metric",111.760000,-91.440000,90.000000,top
"R4","5k1","R_0402_1005Metric",111.760000,-86.995000,-90.000000,top
"R5","1K5","R_0402_1005Metric",113.030000,-91.440000,-90.000000,top
"R6","10k","R_0402_1005Metric",127.635000,-95.885000,180.000000,top
"R8","10k","R_0402_1005Metric",113.665000,-98.425000,180.000000,top
"R9","39k","R_0402_1005Metric",113.665000,-96.520000,0.000000,top
"R10","100R","R_0402_1005Metric",116.205000,-96.520000,180.000000,top
"R11","100R","R_0402_1005Metric",114.300000,-86.360000,-90.000000,top
"R12","4k7","R_0402_1005Metric",127.635000,-79.375000,0.000000,top
"R13","4k7","R_0402_1005Metric",127.635000,-80.645000,180.000000,top
"R14","470R","R_0402_1005Metric",106.045000,-96.520000,0.000000,top
"R15","470R","R_0402_1005Metric",106.045000,-98.425000,180.000000,top
"U1","STM32F103CB","LQFP-48_7x7mm_P0.5mm",120.650000,-88.900000,90.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",115.570000,-77.470000,180.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",128.270000,-89.535000,90.000000,top
