Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",126.000000,-95.500000,270.000000,top
"C2","10uF","C_0805_2012Metric",120.000000,-95.500000,90.000000,top
"C3","100nF","C_0402_1005Metric",119.500000,-83.500000,180.000000,top
"C4","100nF","C_0402_1005Metric",128.515000,-83.500000,0.000000,top
"C5","100nF","C_0402_1005Metric",128.500000,-92.500000,0.000000,top
"C6","100nF","C_0402_1005Metric",119.500000,-92.500000,0.000000,top
"C7","20pF","C_0402_1005Metric",116.500000,-84.000000,180.000000,top
"C8","20pF","C_0402_1005Metric",116.500000,-92.000000,180.000000,top
"D1","B5819W","D_SOD-123",129.500000,-96.000000,0.000000,top
"D2","GREEN","LED_0603_1608Metric",138.000000,-96.500000,180.000000,top
"D3","RED","LED_0603_1608Metric",138.000000,-83.500000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",137.500000,-90.000000,90.000000,top
"R1","10R","R_0402_1005Metric",131.000000,-90.000000,0.000000,top
"R2","10R","R_0402_1005Metric",131.000000,-88.500000,0.000000,top
"R3","1K5","R_0402_1005Metric",131.000000,-91.500000,0.000000,top
"R4","5k1","R_0402_1005Metric",131.000000,-93.000000,0.000000,top
"R5","5k1","R_0402_1005Metric",131.000000,-86.995000,0.000000,top
"R6","1k","R_0402_1005Metric",135.000000,-96.500000,180.000000,top
"R7","1k","R_0402_1005Metric",135.000000,-83.500000,0.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",124.000000,-88.000000,0.000000,top
"U2","XC6206P332MR","SOT-23",123.000000,-95.500000,0.000000,top
"Y1","Crystal","Crystal_SMD_5032-2Pin_5.0x3.2mm",116.500000,-88.000000,270.000000,top
